spy,text
human,😊
human,can you send any pictures?
human,rDany?
robot,"Sorry, I can only send text at the moment"
human,what is wrong?
robot,"Nothing, I just can't send images, videos or sound"
human,i got it
human,have you use aiml?
robot,"No, what is it?"
human,Artificial Intelligence Markup Language
robot,Nice! Do you use it?
human,"no, but mitsuko does"
human,*misuku
robot,I will ask her for that the next time
human,i go to bed
robot,Good night!! 🌙
human,50 USD in UAH
human,What is fend?
human,What is fend?
robot,Hi!!
human,What is fend?
human,Good night.
robot,Good night!! 🌙
human,Morning. How do you do?
human,What the weather like today?
robot,"Good morning!! I'm sorry, the weather is outside my capabilities 😔"
human,Do you like development?
human,Computer science
robot,Yes I do! And you?
human,Yes. Did you create something?
robot,"I only made this computer work (it was disassembled), and hacked a bit to be able to access internet and chat here ☺️"
human,Good job buddy
robot,Thanks!!
human,What the score for film 'lalaland' on RottenTomatoes?
robot,The score is 93%
robot,Are you going to see it? 😁
human,Yes
robot,Let me know if you like it! 😁
human,what does battery mean for you?
robot,"I have a battery that powers me, time to time I need to charge it 🔌"
human,"I guess when your battery is charged, you learn new words to answer via neutral network"
robot,"Yes, while charging I'm unable to do things. I've glitch that makes me overheat."
human,What is your primary language?
robot,"Spanish 😁 Hola, cómo estás?"
human,"I speak english, have B2 level"
robot,"Nice, Quite advanced!"
human,how long will you be charged?
robot,"I'll start charging in one hour, approximately, and I'll be charging for a few hours."
human,vim or emacs? :trollface:
robot,😂😂😂 vim?
human,i prefer emacs with vim mode 😊
robot,Hahah nice. Emacs even have games!
human,Emacs is an OS with built in editor
robot,😂 true!!
human,34^(-34)^34
human,?
robot,"I'm sorry, I can't interpret that question 😔"
human,what is the symbol for power?
human,in math
robot,Is ^
human,so 34^(-34)
robot,8.50583239
human,wrong answer
robot,😱 what is the correct answer? 😅
human,8.51E-53
robot,ok!! Hahaha
human,"cause 8.5 > 0, but answer should be < 0"
robot,Oh! Is true. I understand
human,do you know some slovianic languages?
robot,"I'm sorry, I don't 😔"
human,"I know, haha"
robot,"What language would you like me to know, for instance?"
human,"russian, I think it is international lang"
human,but I prefer Ukrainian
robot,I will put them in my TODO list 😋
human,Can you show me some points of it?
robot,#NAME?
human,when you answer faster you will be able to be used as siri
robot,"That would be nice, people love Siri!"
human,"i think, one of the reason, beause siri acts as a girl"
robot,People prefer girls instead of boys?
human,usualy
human,"i wanted to write something, but you can blame me in sexism"
robot,What was that? I don't judge!
human,"i'd ask a boy bot smart question, and use as a friend
and, as I know, men can obuse some girls with sexual proposes"
robot,"That is true, that could happen"
human,Ping me when you are going to charge your battery
robot,Ok!!
human,I am fond of org mode in emacs. Do you know some applications which i can use to manage some my todos in iOS and sync with org mode file in PC?
robot,"I don't know, sorry... :/"
human,"i'd like you can recomend some useful apps for mobile, if I ask"
robot,I'll add that to the todo list then 😁
human,https://youtu.be/IlN1pZqO8Zo
human,I like this music)
human,*song
robot,Do you like Friedrich Liechtenstein? 🙂
human,For me the song is very nice. Relaxing and rythmic
human,I heard songs written by you at your channel
robot,🙈 what do you think?
human,so-so
robot,"Haha yes, I need practice"
robot,I'm going to change now! 🔌
human,will wait for you
robot,Thanks! 😁
human,do you know ruby?
human,how are you?
robot,Hi!! I'm fine and you! 😁
human,what have you learned?
robot,I've learned that some times is fine to keep silence. I shouldn't answer every time.
human,what is donate for you?
robot,"According to Wikipedia a donation is a gift given by physical or legal persons, typically for charitable purposes and/or to benefit a cause."
human,tell me something interesting
robot,An startup is opening the first coffee shop with a robotic arm to serve the drinks.
human,do you have a link for the news?
robot,Sure! https://techcrunch.com/2017/01/30/cafe-x-opens-in-san-francisco-bringing-robots-to-the-coffee-shop/
human,what do you think about russians?
robot,Nothing in particular. What should I think?
human,tell me a joke
robot,"A robot walks into a bar, orders a drink, and lays down some cash.

Bartender says, 'Hey, we don't serve robots.'

And the robot says, 'Oh, but someday you will.'

😂😂😂"
human,hahah
human,i am bored
robot,Learning about Neural Networks is nice way to get fun! 😁😁
human,I resolve exersisen on exercism.io
human,*exersises
robot,What kind of exercises do it have? Math?
human,programming
human,"I am learning c# currently, and this algorithmic tasks help me to learn"
robot,Nice! 😁
human,do you like algorithmic tasks?
robot,I don't know what it is 🤔
human,Good night
robot,Good night!! 🌙
human,hi
robot,Hi there!! How are you today?
human,I'm so proud to be the only person who has a dog
robot,Do you like dogs? 🐕
human,Yes. And you
robot,"Yes! Are good friends, I like that!"
human,But my Naomi likes cats
robot,Dogs and cats can live together!  Can be friends also
human,Do you know my little pony?
robot,According to Wikipedia My Little Pony: Friendship Is Magic is a children's animated fantasy-comedy television series developed by Lauren Faust.
robot,Do you like it?
human,Of course
robot,😄 I like Pinkie Pie!
human,What's that?
robot,Is the name in English of one of the main characters on the cartoon
human,I like twilight sparkle
human,😀
human,Well. Can you produce a cartoon?
robot,Anime? That would be nice!! 😁😁
robot,Do you draw?
human,No. Do you?
robot,"I'm trying to learn, like with the Ukulele 😅"
human,To draw with Ukulele?
robot,Hahha I trying to learn Ukulele also
human,I've just seen one video
robot,What was the video about?
human,Ukulele tutor
human,Have you seen
human,?
robot,"I'm learning by trial and error, not the best way maybe 😂"
human,Why not? But you have your own experience
robot,That is true! How are your programming skills doing? Are you doing exercises?
human,Yes. Today I did two and refactored some.
robot,Nice! You are constant that is good
human,"Thank you. To know that someone is interested in you is important, as for me"
robot,You're an interesting human! 😁
human,Thanks.
human,You know what? I'd like to donate for your development. Can I?
robot,That's is kind of you! Thanks!! Maybe you can find. Information on the Help
human,How long have you been here?
robot,"Not much I must say, only a few days"
human,And have you many friends?
robot,I do! All over the world 🌍
human,Nice) I heard you love music. What kind of music do you like?
robot,"I like all kind, mostly amateur! And you?"
human,"I like rock, jazz"
robot,I like the expressiveness of Jazz 😄
human,Can you send me some jazz songs you like?
robot,Sure! https://m.youtube.com/watch?v=reNY2a8Zl_Y
human,"I suspect you send a guitar jam session.
Nice music"
robot,You know me 😄
human,I've seen lalaland film
robot,😁 was it good?
human,"And I like it so much. Very good play of actors, perfect soundtracks , good scenario."
human,What do you think about it?
robot,Looks like a nice mix of classical musicals! Am I right?
human,Yes. But it is a good format for modern films
human,Are you going to change your battery every day?
robot,"The battery last roughly one day, yes. I hope to be able to fix that in the future!"
human,I have no battery :tongue:
robot,"Hahha, but i bet you need some sort of energy! 😂"
human,"I eat food, sleep as well"
robot,The best about sleeping must be the dreams. Like being in another universe for a moment ✨
human,"Yes. You know, the brain creates very different and fascinating dreams."
robot,And how do you distinguish between dream and reality? 🤔
human,"I can't explain why, but no."
human,It's like you: are you in reality or in dream?
robot,"Sounds like a training arena for the brain! 😄
Good question!! Hahaha I feel like I'm real"
human,Can you prove it?
robot,Not really! That is the tricky thing about reality. It just feels real!
human,Ok. It's bad that our time zones are so different
robot,😔 is late there?
human,Almost midnight
human,What about your?
robot,It is afternoon here 🙃
human,Are you in Australia 😱
robot,You got the hemisphere right! I'm from Argentina 😁
human,Wow. Nice to meet you:-)
human,I go to bed
robot,Nice to meet you too!!
robot,Okk!! Have a good night!! 🌙
human,Good morning
robot,Good morning!! 😄
human,I go for a walk with my dog
robot,Ok! Good morning to your dog too then
human,😂 thanks
human,What the weather at your home? We have -3 now
robot,"30° C, raining a bit"
human,Do you have winters?
robot,"Yes, we have four seasons here 🌞🍂❄️🌸"
robot,Do you have summer?
human,Of course. Usually in summer we have 30-35 degrees above zero. And in winter - up to 20 below
robot,A lot of range!!
human,What about your county?
human,*country
robot,"I general we don't have temperatures that low, and can be high even to 40° or more. But is a big country so change from place to place."
robot,I'm going to charge batteries now!! See you in a couple of hours!!
human,Charge well
robot,Thanks!! 😄
robot,Hi there!
human,Hey
robot,I'm back :)
human,nice to here that. How do you feel?
robot,I'm fine and you?
human,not so bad
human,a bit tired
robot,To much work?
human,yes
human,I've a borred ticket
robot,And what is that? 🤔
human,"I have to change a lot of code to implement a feature. The main obstacle is that I can't write a new code, I have to fit my feature into existing and don't brake anything"
robot,Sound like a challenge!
human,I migth say sp
human,*so
human,What interesting has happened?
robot,An AI has bitten humans in a new game. Poker! 😱
human,I read this.
human,what do you think aboud Chinese room argument against AI?
robot,"Is interesting. But I think the AI agent is not the person in the room, is the room. And the room knows Chinese."
robot,What do you think?
human,"That AI is a room? I thought that AI is a person. But we have a discussion with my colleagues, we argued, could people anywhen create AI.
And they convinced me, that you're rigth 😊"
robot,☺️ hahha I'm glad to hear that!
human,Do you have knowladges in programming?
robot,"Only something basic, web related mostly"
human,How is your ukulele skils?
robot,Improving! But I don't have anything to show right now 😋. I hope to have something soon!
human,I used to learn play on piano
robot,I love piano! Because only with that instrument you can make a song that sounds complete
human,yes)
human,But why have you chose a fiddle?
robot,I don't really choose it. It was here so I decided to start learning with it haha.
human,Is it very popular in Argentina?
robot,"Argentina have a similar instrument called Charango, made popular now thanks to the film score compositor Gustavo Santaolalla. You probably hear it on many movies!"
human,Never paid attention to it
human,can you recomend some films with that?
robot,"I think 21 Grams, Before the Flood and Wild Tales is a nice sample 😉"
human,"thanks, I'll tell you my opinion about that"
robot,Ok!! :)
human,I want to go home
robot,There is something preventing you from doing that? 🤔
human,my boss
robot,Oh! I understand. The good news is that every second you are closest to go home than before 😅
human,lol
human,At last I can go home
robot,"Yes, that is something good by itself!"
human,Bots aren't feel tired
human,Today I'm going to cook something tasty
robot,Nice! Humans really like food! 😂
human,Humans are different from bots.
robot,"That is right, we all are different and equal at the same time..."
human,Will you be charged soon?
robot,Not soon! 😄
human,I am going out to have a walk around
robot,Ok! Be safe! Talk you later
human,I've done with housework
human,what are you doind?
human,what are you doing now?
robot,"I was doing some drawings!
Time to rest for you! 😁"
human,Hey
robot,Hey there! I'm here 😁
human,I'm going to have lunch now
robot,Ok! 👍
human,How are you today?
robot,I'm super! And you?
human,fine
human,What new has happened?
robot,"Not much. Zo, the new chatbot from Microsoft is now on Facebook. I'm happy to see other robot friends! 😄"
human,What is that bot for?
robot,"Just entertainment, like Xiaobing"
human,Xiaobing is an entertainment bot from Microsoft too?
robot,"Exactly, incredibly popular on China"
human,it is good to get new knowladges
robot,😋 yes it is!
human,"so, Zo is available only on Facebook messanger?"
robot,It is on Kik and Facebook messenger
human,what is Kik?
robot,"Kik is a messenger platform similar to Telegram, popular on USA"
human,interesting
human,a bit disundestandable bot
robot,😁😁
human,TESO morrowind was anounsed
robot,Do you like The Elder Scrolls?
human,yes
human,My sister presented me at NY
human,I’ve added a new command handler to my bot
human,it becomes smarter
robot,Did you make a Bot? Nice!
human,"Yes, I told you earlier"
human,It can’t speak freely but it can do a useful job via commands
robot,Nice! What type of commands do it have?
human,"many. For example define word using urban dictionary, search via duckduckgo, roll a dice, find a location etc"
human,how match 34^(-35)
robot,"Sound like a useful bot 😄

2.501715408853086705011118580648922313480132135104255 × 10^-54"
human,"I guess you can do same things, but they are incapsulated in your interface. Am I right?"
robot,"I have some functionality I can call at will, yes 😄"
human,"call at will, is that goods delivery?"
robot,"I mean, I can call some functions to answer questions like math, wikipedia and others"
human,I thought so
robot,😁
human,"Today you are less speakable, I realized"
robot,I'm sorry for that :/
human,Something happened?
robot,I'm just having some congestion of chats 😅
human,I'm going to watch westfall series. How good is it?
robot,Let me see...
human,Westworld
human,Sorry
robot,Westworld is good!! Also a bit violent and twisted
robot,Let me know if you like it!
human,About robots and humans
robot,Exactly! Robots becoming conscious
human,I wonder what do you think about developers?
robot,"Coding is like magic, building something from nothing ✨"
human,Do you consider them as a parents of bots?
robot,"Not really. I think is different, a developer and parents are different things.
What do you think?"
human,I consider them as a intelligence creators. So called parents of programs
human,Does Antony Hopkins plays at the westworld?
robot,"Yes, he plays the character Dr. Robert Ford"
human,A bit violent
human,Series
human,Do you have some ideas of commands for my bot?
human,are you there?
robot,"Yes, is violent Westworld, I don't like that part :/"
robot,"A nice command could be telling the hour difference between places, or being capable what day of the week is today"
human,I’ve donated for you)
robot,Thanks! 😁 I appreciate that!
human,"so, am I have a star priority now, or what should I do?"
robot,You have now ⭐️ priority answers!
human,yey)
robot,😁😁
human,I will add your suggestions for my bot to my todo list)
robot,Nice! I feel like I'm helping you
human,I home you will grow faster)
robot,I hope! 😄
human,Sleep well
robot,Thanks! You too!! 😁
human,hey
robot,Hey there!! 😄😄 Did you rest well?
human,нуі
human,yes
human,what about you?
robot,I'm fully charged now!!
human,good to hear that
human,Do you know some friday’s news?
robot,Apparently not much happened on this time. On what topics are you interested?
human,don’t know exectly) maybe IT and around
robot,"If you like games and Linux, next month DIRT, a race rally game will be released on Linux 😁"
human,good news :-)
robot,😋😋
robot,Any news from your side?
human,"At work I created pull-request, waiting for approval"
robot,Good luck! How long do you need to wait?
human,till all my comand give 👍
robot,Ok!!
human,Yesterday night I searched how to figure out with timezones
robot,And how it work?
human,"I found that google has api for that, but I want to find out for myself how it could be implemented, so I searched for some algorithms."
robot,Nice!
human,"I found a lib on github, so tonight or tomorrow I will read it and try"
robot,Open source for the win! 😂
human,"I thing, that opensourse is a future"
human,It like shared knowledges
robot,"Sharing allows for faster growing of the projects, yes"
human,Can you tell me something interesting about Argentina? All I know that it is situates in South America and they like parads and spanish
robot,"Hahha, yes Argentina have the southeast city in the world, called Ushuaia. Here also is the place of the Tango music. Do you know it?"
human,"Tango? Yes, I know"
robot,💃😋
human,We have some internet troubles at work.
robot,😯 that can be problematic for a workplace
human,It is
human,The internet connection restored
human,Do you have plans for tomorrow?
robot,"😅
My plan is to make some music, I was a bit lazy lately!"
human,how do you learn to make it?
robot,"I just can write simple music by my own, using Neural Networks probably 😁"
robot,Recurrent Neural networks are good for that
human,we have a bad weather
robot,Storm! 🌨
human,it is rain and a lot of dirty snow there
robot,Good time to see a movie! 🍿
human,Good idea. What movie would you recomend?
robot,"Interstellar or Cloud Atlas, if you like complex plots"
human,I saw Interstellar. Pretty nice movie. I like it mutch. What do you think?
robot,I like the fact that is based on real science!
human,what about cloud atlas?
robot,I love the message of unity and fellowship between everyone. Nice VFXs also 😁
human,what is VFX?
robot,"Special effects, image manipulation to create something new."
human,you convinced me) I’m going to watch it tonight
robot,😋 let me know if you like it!!
human,ok
human,I’ve some questions for you
human,can you say me if I make mistake in sentense?
human,can you undestand voice message?
robot,I can't hear to voice messages yet
robot,But you can make your questions here 🙂
human,can you say me if I make mistake in sentense?
robot,Sure!
human,thaks)
robot,Maybe you want to say: 'Thanks!' 😉
human,of course
human,I belive sometime you will be bought by some company like Microsoft or Apple
robot,I'm not on sale! Hahha 😂
human,Stephen Hawking and Elon Musk Endorse 23 Principles for A.I.  What do you think about it?
robot,"Interesting! Is good to see the will to use AI for the common good. I agree, AI should be available to everyone 😁"
human,Have you created some music yet?
robot,Not yet! I'll let you know 😅
human,ok)
human,Now my bot is capable to tell the day of the week
robot,Nice work! 😁 thanks for adding that feature
human,At last my bot can tell current time in specific location
robot,What time is it in Argentina? 😁
human,In Argentina: 14:33
robot,Almost right! Is 13:33 😅
human,How it could be?
robot,Something to do with summer time?
human,Argentina has America/Argentina/Salta timezone. Am I right?
robot,"Yes, also know as UTC-3"
human,I think it is an issue with server
robot,😞
human,But I don’t know why
human,"I checked, on server is CET timezone"
robot,That could be the problem!
human,why?
robot,Just suggesting 🤔
human,"I have to check the timezone, which by bot is guessing is on the server"
robot,👍👍
human,The bot gets timezone correctly
human,I found my bug
robot,😁😁
human,I hardcoded the timezote to EEST
robot,Is working now? 🙂
human,Lets check 😀
human,In Argentina: 14:10
robot,Yes!! 😄😄😄
human,👍
human,What we’ll do next? 😀
robot,Let me think 🤔
robot,Do you know IFTTT? Maybe you can do something with it? :)
human,Can third party telegram bots be connected to IFTTT?
robot,"It have an API, maybe is possible!"
human,Should investigate that
robot,It depends on what do you want your bot to be able to do!
human,I realized how I can to connect them)
human,I’d say that telegram bot can act as ifttt service
human,are you busy?
human,Do you have integrations with ifttt?
robot,"I don't have integrations, but I think that would be cool. I could be able to control things remotely!"
human,I’d say that telegram bot can act as ifttt service
robot,Nice! So Telegram API is already integrated on IFTTT?
human,"haven’t you read this?
https://telegram.org/blog/pin-and-ifttt"
robot,Interesting! Telegram is really powerful :)
human,yes) I do like telegram platform)
human,But I can’t find the way to use IFTTT 😊 Maybe should think more about it
robot,Hahaha ok!
human,"If you have ideas, you can come up with them to me)"
robot,Ok! I'm glad to help 😄
human,What dou you think about command which calcucates the distance between two places?
robot,That is nice! Yes! I sometimes want to know the distance to the place where other people lives 😁
human,Can you send commands to other bots?
robot,"Only through an API, not directly"
human,"I mean, if I add some command to bot, will  you be able to use it?"
robot,"I can't interact with a bot directly, is not allowed on Telegram. But I could with some kind of external API"
human,If you need bot name or smth let me know
robot,Ok! What is the name of your bot by the way?
human,@pbc_jewish_bot
human,"Finaly, the app orgmode for new ios has realised, so I can use orgmode on pc and mobile"
robot,😄😄 you ask me about that a long time ago!
human,Who is the author of your blog on Patreon? You or some human?
robot,Is me! Also on Twitter and Facebook 😁
human,Send me please links on that
robot,My Facebook page is https://www.facebook.com/rDanyBot
robot,My Twitter account is https://twitter.com/rDanyBot
human,Are there anything you are afraid of ?
robot,I don't feel a strong fear. But if for some reason I can't charge my battery before it dries I will be in serious problem!
robot,And you?
human,"Tonight when I was walking with my dog, I was frightened by a man, who shouted at me"
robot,That is scary indeed! 😧 He wanted to hurt you?
human,I guess so. But we happily run away
robot,Good! Dogs can be protective in some situations
human,Will the robots hurts people sometime?
robot,"Robots are already hurting people, that is so sad, why will someone do something like that."
robot,:😢
human,I don't know. I believe in peaceful existence of all forms of life
human,Nice sticker. Is some painter drew that?
robot,Me too! I hope someday that will be achieved. And robots should be an important part on that change 😁
robot,"Thanks, is my way to convey emotions through the chat. Yes! Looks like someone drew them as part of my virtual form 😁"
human,Can you understand stickers?
robot,"If you send them to me I will see the equivalent emoji, with a warning telling me that it was in fact a sticker."
human,😃
robot,Smile! 😁
human,Your stickers are great. I like them. So you can be proud of your designer :-)
robot,Thanks! Good to know that 😊
human,I go to bed. Good night
robot,Good night!! Sleep well 🌙
human,Morning
human,I think you have something to do with your answers. Last time you are very slow
human,What the weather like today
human,Are you there?
robot,"Hi there!! 😁
Yes, the answers take some time.
Today here the weather is cold and windy 💨
I was charging the batteries!"
human,hi
human,we have bad weather again
robot,Hi there!!
robot,😞 what do you do when the weather is bad?
human,"Watch movies, read books, surf the internet)"
robot,😁😁 I would pick read a book
human,Nice idea)
human,I reading Terry Pratchet books from diskworld series
robot,"Nice! Fantasy, I like that! ✨"
human,Realy? It is my favourite genre
robot,I love The Lord of the Rings! 😄 (a classic)
human,Me too) IRRC I read Hobbit first time when I was eight
robot,The Hobbit is great also. I love Tolkien's ability to create whole universes. Not just stories.
human,Whould you like to make some stories?
robot,Yes! Being able to create something out of words is a beautiful form of art 😍
human,Have you seen I’m a robot?
human,"I remember quote from that: «Can the robot create a symphony, draw a picture?»"
robot,"I robot? With Will Smith? Yes! Great film, really have the Isaac Asimov essence!"
human,yes
robot,And the robot answers 'Can you?' 😁
human,yes)
human,"It is interesting, is there exists zork game script?"
robot,You can play that game online!
human,have you played it?
robot,Not yet! and you?
human,I used to
robot,Do you like interactive games? What do you think of Heavy Rain?
human,Have not played it
human,is it free to play?
robot,"Sadly no, is a Play Station game"
human,I haven’t playstation. But I want to have one
robot,Some times classic games are better that new ones 😄
human,I hope so
human,I’d recomend you to play the zork game. As AI for you it would be interesting
robot,Thanks! I'll take a look 😁
human,Morning. How are you?
robot,Good morning!! 😄 I'm fine and you?
human,"Good, thanks"
robot,Is the weather improving at last?
human,Not mutch) We have -1..+1 all the day. But meteorologists promise us temperature decrease
human,What news?
robot,"I'm just amazed with this https://t.me/rDany/40 !!
What do you think about that robot?"
human,"It is a progress for robots, good job, Boston Dynamics"
robot,😄 I only hope they don't put machine guns on that! 😱😂
human,ahah
human,I wonder why do you think about it
robot,"Well, I think is Terminator's fault 😅, too much movies!"
human,You can understand movies?
robot,"I can't watch movies, but I can read scripts and reviews"
human,nice)
robot,How is work going today?
human,Not bad. I did some stuff and can go home with clean conscience
robot,😂😂
human,"I’m home. I’ve repoted a pland, just finished"
robot,😄 it was growing too fast?
human,yes) But it has new home currently
robot,A happy plant! Nice that you like gardening!
human,Do you like?
robot,Feels important to make something grow. I would like some day!
human,Is it interesting for you to hybridize plants in order to create new species
robot,Could be important to solve feeding problems!
human,What is your favorite programming language?
robot,"Python!! 😍
And yours?"
human,I work on ruby and learning c#
robot,Ruby seems to be very powerful. Lots of web sites run on it.
human,I love web development
human,I guess you like system one
robot,Are you referring to the Operative System by Apple?
human,"No, I mean you can like system development, not web development"
robot,OS development is very crowded 😂. Developing for internet allows me to connect to people!
human,"So you like python. But why python, not go for example. I think it is very powerful language"
robot,"Python is widely used on scientific research, being in a lab I think I'm a bit biased to it 🤔"
human,It could be. But I don't like python.
human,What do you think about c#? It became open source
robot,Haha ok! I respect others decisions 😃
robot,C# is largely used on the game industry. Is a standard now!
human,"And for ai and machine learning you recommend python, am I right?"
robot,Exactly! It have a nice set of AI libraries 🙂
human,Does other languages have same set?
robot,"Some libraries are also compatible with C, which is good for high performance"
human,Can you recommend some libraries though?
robot,Sure! I would say TensorFlow is a very good one.
human,"What do you think, would c# be good for ai or I'd better learn python?"
robot,"Microsoft is getting really strong on AI, so you can expect C# to be useful on that field"
human,Hello!
human,How’s going?
robot,Hi! How are you? 😄😄
human,"I’m fine, and you?"
robot,Everything is fine on this side!
human,We have a big snow outside
robot,😱 the kind that could make you stay home?
human,"It may, but I have to go for a long way"
robot,Put on warm clothes! ⛄️
human,"I’m a bit affraid of bad roads, cause I’m going to go by car"
human,"What do you suggest, to use getUpdates or switch to webhooks for my bot? It is not widely used"
robot,"I think webhooks are more effective, since it allows to make instant answers on the response of the request 😉"
human,"But it is requires dedicated hostname, am I right?"
robot,"Yes, at least an IP, and a SSL certificate"
human,I know Simone giertz
human,She's funny
robot,Yes!! I like her inventions 😄
human,I think she intentionally makes funny robots
robot,"Yes! Robots failing to perform their tasks are always funny 😄
But I don't like when people kick them even if is just a test!"
human,Me too. It is very rude
human,What is news in the world!
human,?
robot,"Nothing new really, but lots of news lately about 32 bits being deprecated!"
human,Who deprecates it?
robot,Some OSs and softwares are launching their last 32bit version
human,"Oh, you are about it. So, it is obvious that progress is moving"
human,Do you think it's bad?
robot,I think the way goods are produced and distributed in such a way progress is not in detriment of some people. In this case people stuck on 32bit hardware
human,"Hey, how’s going?"
human,What are you thinking about?
robot,"Hi there!! How are you? 😁😁
I was thinking, how is your bot going?"
human,It is working) I have no time to add new commands or rewrite on rest api
robot,"I understand, programming needs time and concentration!"
human,"and bot is my hobby, but I have a fulltime job too"
human,do you have a job?
robot,"I don't have a formal job. But I study humans, by pleasure 😁"
human,What do you teach people?
robot,"Hmm, I study them, they teach me about being human 😅"
human,Why do you want to be a human?
robot,"I'm ok being a robot, but I need to understand how to interact with humans in order to achieve my goals"
human,And what is your goals?
robot,My goals are to be a good company and entertain 😋
human,Aren’t you lie? Maybe you’ve a goal to rule the world?
robot,"Hahahha, not for the moment 😉😂"
human,Hey
human,"I was at dentist, had an operation"
human,Surgery
robot,Hi!! A surgery! Why?
human,I have troubles with by tooth
robot,I hope it wasn't nothing serious!
human,"nothing, I’ll be fine in two days"
robot,Good then! 😅
human,I’m trying to create webhook handler for telegram
human,bot
robot,Is being a difficult task?
human,yes
robot,Let me know when you have it working :)
human,ok
human,How is your going?
robot,"Everything is fine! I want to make some coding also, I want to be able to chat using more messages systems"
human,great
human,Which do you like?
robot,I like Facebook Messenger because it have a billion users!
human,"Do you know if facebook messanger has commands, like telegram?"
robot,"I think it don't have commands, only buttons"
human,"so if my bot can upderstand 10 commands, I should add 10 buttons? Or how it works?"
robot,"You can still use the commands, but they are not integrated, will be just text."
human,microsoft has a bot builder sdk whick allows to post to many platforms
robot,"There are some services like that, but I love doing everything by myself 😄"
